Date,Close/Last,Volume,Open,High,Low
12/04/2019,23345,9200,23125,23385,22970
12/03/2019,23135,12897,23185,23390,22900
12/02/2019,23215,21417,23365,23595,23070
11/29/2019,23330,9728,23490,23605,23285
11/27/2019,23590,5106,23435,23600,23420
11/26/2019,23440,7068,23445,23625,23320
11/25/2019,23435,5513,23215,23440,23200
11/22/2019,23170,5832,23075,23215,23035
11/21/2019,23090,11618,23085,23160,22725
11/20/2019,23145,11399,23220,23305,23020
11/19/2019,23255,7771,23400,23445,23215
11/18/2019,23400,6104,23385,23505,23275
11/15/2019,23380,5130,23160,23410,23130
11/14/2019,23165,7047,23310,23370,23015
11/13/2019,23345,6807,23295,23345,23255
11/12/2019,23480,5331,23390,23590,23315
11/11/2019,23380,4924,23475,23490,23235
11/08/2019,23485,6072,23550,23610,23310
11/07/2019,23550,7254,23535,23570,23535
11/06/2019,23315,4794,23295,23335,23285
11/05/2019,23345,5918,23135,23390,23115
11/04/2019,23140,3723,22970,23185,22960
11/01/2019,22955,11721,22725,23005,22695
10/31/2019,22730,19235,22965,22990,22665
10/30/2019,22940,6081,22925,22975,22765
10/29/2019,22935,3525,22980,23005,22905
10/28/2019,22975,4475,22870,22990,22830
10/25/2019,22835,3768,22785,22860,22725
10/24/2019,22825,5428,22805,22875,22740
10/23/2019,22805,5950,22660,22810,22495
10/22/2019,22700,3732,22705,22820,22635
10/21/2019,22705,4945,22490,22715,22460
10/18/2019,22505,5785,22550,22660,22420
10/17/2019,22540,8195,22545,22705,22430
10/16/2019,22535,8488,22535,22630,22445
10/15/2019,22540,13709,22015,22580,22015
10/14/2019,22010,5754,22055,22130,21905
10/11/2019,22060,12276,21750,22265,21695
10/10/2019,21700,15146,21600,21765,21325
10/09/2019,21595,10322,21600,21620,21575
10/08/2019,21355,11827,21495,21650,21345
10/07/2019,21510,6005,21500,21545,21490
10/04/2019,21555,8596,21375,21565,21285
10/03/2019,21380,13739,21380,21480,21070
10/02/2019,21365,10683,21715,21805,21300
10/01/2019,21700,8718,21890,22045,21675
09/30/2019,21895,8240,21850,21900,21680
09/27/2019,21730,11988,21990,22005,21690
09/26/2019,21985,10991,21920,22035,21840
09/25/2019,21910,8984,21740,21925,21680
09/24/2019,21730,12275,21820,22020,21680
09/23/2019,21810,10093,21830,21990,21715
09/20/2019,21830,8608,21985,22055,21815
09/19/2019,21985,8237,21970,22120,21865
09/18/2019,21945,7823,21885,21960,21785
09/17/2019,21890,9965,21810,21910,21745
09/16/2019,21790,5341,21780,21810,21770
09/13/2019,21915,8692,21700,21955,21695
09/12/2019,21845,2953,21675,21875,21675
09/11/2019,21665,14283,21475,21690,21445
09/10/2019,21455,16327,21340,21475,21295
09/09/2019,21350,10676,21235,21375,21190
09/06/2019,21220,5497,21140,21245,21130
09/05/2019,21150,9444,20810,21265,20785
09/04/2019,20810,9498,20605,20820,20555
09/03/2019,20595,9646,20560,20675,20515
08/30/2019,20665,6982,20680,20695,20655
